BT1:1
Battery Holder:1
C1:1
C2:1
D1:1
D2:1
D3:1
J1:1
J2:1
L1:1
Q1:1
R1:1
R12:1
R13:1
R3:1
R4:1
R7:1
R8:1
R9:1
SW1:1
SW2:1
U1:1
U2:1
U3:1
